Week_Starting,Campaign,Budget,Impressions,Clicks,Click_Through_Rate,Leads,New_Customers,Conversion_Rate,Revenue,Customer_Acquisition_Cost,Return_on_Ad_Spend,Cost_Per_Click
2023-07-02,Google Ads,5494,65928,2306,3.498,559,165,7.155,1826550,33.3,332.46,2.38
2023-07-02,Facebook Ads,18028,342532,15053,4.395,1857,336,2.232,3405024,53.65,188.87,1.2
2023-07-02,LinkedIn Ads,7287,102018,2277,2.232,523,141,6.192,1391106,51.68,190.9,3.2
2023-07-02,Email Campaign,4231,84620,4089,4.832,421,144,3.522,1216512,29.38,287.52,1.03
2023-07-02,Content Marketing,1662,19944,1062,5.325,140,26,2.448,92040,63.92,55.38,1.56
2023-07-02,SEO,4802,81634,2231,2.733,324,82,3.675,688390,58.56,143.35,2.15
2023-07-09,Google Ads,6488,103808,3869,3.727,555,151,3.903,530010,42.97,81.69,1.68
2023-07-09,Facebook Ads,5026,95494,2442,2.557,351,78,3.194,428142,64.44,85.19,2.06
2023-07-09,LinkedIn Ads,12118,133298,5097,3.824,1110,210,4.12,1234800,57.7,101.9,2.38
2023-07-09,Email Campaign,2511,25110,1018,4.054,192,30,2.947,222960,83.7,88.79,2.47
2023-07-09,Content Marketing,6702,134040,5938,4.43,745,121,2.038,917180,55.39,136.85,1.13
2023-07-09,SEO,2287,25157,1457,5.792,356,110,7.55,1319120,20.79,576.79,1.57
2023-07-16,Google Ads,9802,137228,4416,3.218,506,145,3.284,1645460,67.6,167.87,2.22
2023-07-16,Facebook Ads,9521,161857,6086,3.76,720,179,2.941,1346796,53.19,141.46,1.56
2023-07-16,LinkedIn Ads,19212,345816,7392,2.138,1747,352,4.762,1161248,54.58,60.44,2.6
2023-07-16,Email Campaign,4456,49016,2279,4.65,334,84,3.686,351876,53.05,78.97,1.96
2023-07-16,Content Marketing,5560,88960,3724,4.186,475,163,4.377,1036843,34.11,186.48,1.49
2023-07-16,SEO,3176,31760,1619,5.098,390,128,7.906,1197184,24.81,376.95,1.96
2023-07-23,Google Ads,7688,115320,5064,4.391,1206,202,3.989,1341078,38.06,174.44,1.52
2023-07-23,Facebook Ads,8694,95634,2662,2.784,284,61,2.292,729072,142.52,83.86,3.27
2023-07-23,LinkedIn Ads,10174,101740,3616,3.554,508,160,4.425,684800,63.59,67.31,2.81
2023-07-23,Email Campaign,5800,58000,1987,3.426,282,72,3.624,844704,80.56,145.64,2.92
2023-07-23,Content Marketing,6915,96810,2481,2.563,546,90,3.628,466920,76.83,67.52,2.79
