Week_Starting,Campaign_Name,Channel,Budget,Impressions,Clicks,Click_Through_Rate,Leads_Generated,New_Customers,Conversion_Rate,Revenue_Generated,Customer_Acquisition_Cost,Return_on_Ad_Spend,Cost_Per_Click,Lead_Quality_Score,Engagement_Score
2023-07-02,Google Ads - Enterprise,Partnerships,19445,272230,6800,2.498,1309,322,4.735,2287166,60.39,117.62,2.86,8.3,69.7
2023-07-02,Facebook - SMB,Partnerships,24223,339122,5507,1.624,323,88,1.598,427240,275.26,17.64,4.4,8.3,86.2
2023-07-02,LinkedIn - B2B,Partnerships,5663,73619,796,1.081,155,41,5.151,249034,138.12,43.98,7.11,7.1,70.5
2023-07-02,Email Campaign,Content Marketing,4033,32264,559,1.733,53,10,1.789,23620,403.3,5.86,7.21,7.8,73.7
2023-07-02,Content Marketing,Digital Advertising,11502,115020,3965,3.447,281,44,1.11,116072,261.41,10.09,2.9,7.6,78.7
2023-07-02,Webinar Series,Content Marketing,11071,132852,5501,4.141,439,89,1.618,404416,124.39,36.53,2.01,8.3,66.4
2023-07-02,Trade Show,Events,6317,69487,2383,3.429,180,20,0.839,49660,315.85,7.86,2.65,9.3,94.0
2023-07-02,Partner Referral,Events,9918,138852,5878,4.233,562,67,1.14,381833,148.03,38.5,1.69,8.6,78.2
2023-07-02,SEO Organic,Email Marketing,1736,26040,387,1.486,48,5,1.292,20545,347.2,11.83,4.49,9.2,72.8
2023-07-02,YouTube Ads,Events,13771,192794,7037,3.65,680,138,1.961,1076400,99.79,78.16,1.96,8.1,70.5
2023-07-02,Retargeting,Social Media,14360,172320,8406,4.878,1397,402,4.782,2573202,35.72,179.19,1.71,9.2,82.9
2023-07-02,Influencer Marketing,Content Marketing,7959,95508,4476,4.687,283,39,0.871,120393,204.08,15.13,1.78,6.6,74.8
2023-07-09,Google Ads - Enterprise,Partnerships,6563,52504,1341,2.554,121,32,2.386,222176,205.09,33.85,4.89,7.6,73.4
2023-07-09,Facebook - SMB,Email Marketing,21509,301126,9548,3.171,679,176,1.843,1304512,122.21,60.65,2.25,6.7,94.6
2023-07-09,LinkedIn - B2B,Email Marketing,11162,145106,5933,4.089,473,47,0.792,334358,237.49,29.96,1.88,8.9,86.2
